title	author	publisher	pub_date	sudoc	digagent	contributor	catalog_uri	availability
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1986	FEM 1.209:340360	tamu	TXCM	https://catalog.hathitrust.org/Record/102618426	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1985	FEM 1.209:340359	tamu	TXCM	https://catalog.hathitrust.org/Record/102618427	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1987	FEM 1.209:340358	tamu	TXCM	https://catalog.hathitrust.org/Record/102618428	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1986	FEM 1/209:345300	tamu	TXCM	https://catalog.hathitrust.org/Record/102618429	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1986	FEM 1.209:345305	tamu	TXCM	https://catalog.hathitrust.org/Record/102618430	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1985	FEM 1.209:345309	tamu	TXCM	https://catalog.hathitrust.org/Record/102618431	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1986	FEM 1.209:345311	tamu	TXCM	https://catalog.hathitrust.org/Record/102618432	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1985	FEM 1.209:345523	tamu	TXCM	https://catalog.hathitrust.org/Record/102618433	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1987	FEM 1.209:345528/987	tamu	TXCM	https://catalog.hathitrust.org/Record/102618434	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1983	FEM 1.209:350001	tamu	TXCM	https://catalog.hathitrust.org/Record/102618435	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1983	FEM 1.209:350002	tamu	TXCM	https://catalog.hathitrust.org/Record/102618436	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1982	FEM 1.209:350006	tamu	TXCM	https://catalog.hathitrust.org/Record/102618437	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1991	FEM 1.209:350013/350113/355332/ETC.	tamu	TXCM	https://catalog.hathitrust.org/Record/102618438	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1988	FEM 1.209:350022	tamu	TXCM	https://catalog.hathitrust.org/Record/102618439	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1991	FEM 1.209:350029	tamu	TXCM	https://catalog.hathitrust.org/Record/102618440	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1982	FEM 1.209:350033	tamu	TXCM	https://catalog.hathitrust.org/Record/102618441	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1990	FEM 1.209:350045/990	tamu	TXCM	https://catalog.hathitrust.org/Record/102618442	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1982	FEM 1.209:350056	tamu	TXCM	https://catalog.hathitrust.org/Record/102618443	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1988	FEM 1.209:350064	tamu	TXCM	https://catalog.hathitrust.org/Record/102618444	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1986	FEM 1.209:350068	tamu	TXCM	https://catalog.hathitrust.org/Record/102618445	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1988	FEM 1.209:350077	tamu	TXCM	https://catalog.hathitrust.org/Record/102618446	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1989	FEM 1.209:350078	tamu	TXCM	https://catalog.hathitrust.org/Record/102618447	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1988	FEM 1.209:350083	tamu	TXCM	https://catalog.hathitrust.org/Record/102618448	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1991	FEM 1.209:350086	tamu	TXCM	https://catalog.hathitrust.org/Record/102618449	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1985	FEM 1.209:350088/2	tamu	TXCM	https://catalog.hathitrust.org/Record/102618450	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1982	FEM 1.209:350090	tamu	TXCM	https://catalog.hathitrust.org/Record/102618451	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1982	FEM 1.209:350093	tamu	TXCM	https://catalog.hathitrust.org/Record/102618452	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1982	FEM 1.209:350094	tamu	TXCM	https://catalog.hathitrust.org/Record/102618453	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1991	FEM 1.209:350120/991	tamu	TXCM	https://catalog.hathitrust.org/Record/102618454	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1982	FEM 1.209:350125	tamu	TXCM	https://catalog.hathitrust.org/Record/102618455	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1984	FEM 1.209:350142	tamu	TXCM	https://catalog.hathitrust.org/Record/102618456	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1983	FEM 1.209:355332	tamu	TXCM	https://catalog.hathitrust.org/Record/102618457	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1992	FEM 1.209:360251/992	tamu	TXCM	https://catalog.hathitrust.org/Record/102618458	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1992	FEM 1.209:360267/992	tamu	TXCM	https://catalog.hathitrust.org/Record/102618459	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1983	FEM 1.209:360711	tamu	TXCM	https://catalog.hathitrust.org/Record/102618460	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1986	FEM 1.209:360838	tamu	TXCM	https://catalog.hathitrust.org/Record/102618461	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1986	FEM 1.209:360876	tamu	TXCM	https://catalog.hathitrust.org/Record/102618462	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1986	FEM 1.209:370014	tamu	TXCM	https://catalog.hathitrust.org/Record/102618463	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1985	FEM 1.209:370016	tamu	TXCM	https://catalog.hathitrust.org/Record/102618464	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1987	FEM 1.209:370017	tamu	TXCM	https://catalog.hathitrust.org/Record/102618465	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1985	FEM 1.209:370019	tamu	TXCM	https://catalog.hathitrust.org/Record/102618466	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1985	FEM 1.209:370028	tamu	TXCM	https://catalog.hathitrust.org/Record/102618467	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1985	FEM 1.209:370030	tamu	TXCM	https://catalog.hathitrust.org/Record/102618468	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1994	FEM 1.209:350033/994	tamu	TXCM	https://catalog.hathitrust.org/Record/102618469	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1993	FEM 1.209:370034/993	tamu	TXCM	https://catalog.hathitrust.org/Record/102618470	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1987	FEM 1.209:370035	tamu	TXCM	https://catalog.hathitrust.org/Record/102618471	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1985	FEM 1.209:370042	tamu	TXCM	https://catalog.hathitrust.org/Record/102618472	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1985	FEM 1.209:370043/2	tamu	TXCM	https://catalog.hathitrust.org/Record/102618473	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1987	FEM 1.209:370074	tamu	TXCM	https://catalog.hathitrust.org/Record/102618474	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1987	FEM 1.209:370160	tamu	TXCM	https://catalog.hathitrust.org/Record/102618475	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1987	FEM 1.209:370133	tamu	TXCM	https://catalog.hathitrust.org/Record/102618476	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1986	FEM 1.209:370167	tamu	TXCM	https://catalog.hathitrust.org/Record/102618477	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1986	FEM 1.209:370168	tamu	TXCM	https://catalog.hathitrust.org/Record/102618478	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1986	FEM 1.209:370170/986	tamu	TXCM	https://catalog.hathitrust.org/Record/102618479	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1985	FEM 1.209:370181	tamu	TXCM	https://catalog.hathitrust.org/Record/102618480	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1985	FEM 1.209:370183	tamu	TXCM	https://catalog.hathitrust.org/Record/102618481	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1985	FEM 1.209:370184	tamu	TXCM	https://catalog.hathitrust.org/Record/102618482	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1985	FEM 1.209:370185	tamu	TXCM	https://catalog.hathitrust.org/Record/102618483	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1986	FEM 1.209:370191	tamu	TXCM	https://catalog.hathitrust.org/Record/102618484	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1986	FEM 1.209:370222	tamu	TXCM	https://catalog.hathitrust.org/Record/102618485	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1982	FEM 1.209:350135/2	tamu	TXCM	https://catalog.hathitrust.org/Record/102618486	Full View
Flood Insurance Study	United States. Federal Emergency Management Agency, issuing body.	Federal Emergency Management Agency,	1982	FEM 1.209:350135	tamu	TXCM	https://catalog.hathitrust.org/Record/102618487	Full View
World oil developments and U.S. oil import policies	United States Tariff Commission, United States. Congress. Senate. Committee on Finance.	[U.S. Government Printing Office],	1973	Y 4.F 49:OI 5/2	google	UIUC	https://catalog.hathitrust.org/Record/3212589	Full View
Letter from the Secretary of War, transmitting the report of Maj. G. Weitzel, Corps of Engineers, on the superintendence, management, and repair of the Louisville and Portland Canal for the year ending December 31, 1876. January 17, 1877.--Referred to the Committee on Commerce and ordered to be printed	United States. Army. Corps of Engineers.	s.n.,	1877		google	UIUC	https://catalog.hathitrust.org/Record/12185222	Full View
James River and Kanawha Canal	United States. Army. Corps of Engineers.	Govt. Print. Off.,	1871	W 7.5/a:J 232 1871/2	google	UIUC	https://catalog.hathitrust.org/Record/12198291	Full View
Pavement grooving and traction studies	Conference on Pavement Grooving and Traction Studies (1968 : Langley Research Center) United States. National Aeronautics and Space Administration. Langley Research Center.	Technology Utilization Division, National Aeronautics and Space Administration; [for sale by the Clearinghouse for Federal Scientific and Technical Information, Springfield, Va.],	1969		google	UIUC	https://catalog.hathitrust.org/Record/102574571	Limited View
National policy for productivity improvement	National Commission on Productivity and Work Quality.	The Commission,	1975		google	UIUC	https://catalog.hathitrust.org/Record/102610458	Full View
Standard industrial classification manual	United States. Technical Committee on Industrial Classification.	U.S.Govt.Print.Off.	1946		google	UIUC	https://catalog.hathitrust.org/Record/102610806	Limited View
Instruction in hygiene in institutions of higher education	Rogers, James Frederick, 1870-1965.	U.S. Dept. of the Interior, Office of Education : For sale by the Supt. of Docs., U.S. G.P.O.,	1936	I 16.3:936/7	google	UIUC	https://catalog.hathitrust.org/Record/102610975	Full View
Physical rehabilitation of the amputee	Kessler, Henry H. (Henry Howard), 1896-1978. United States. Federal Security Agency. Office of Vocational Rehabilitation.	Federal Security Agency, Office of Vocational Rehabilitation,	1947	FS 13.209:6	google	UIUC	https://catalog.hathitrust.org/Record/102611303	Full View
The intergovernmental balance in education	Intergovernmental Advisory Council on Education (U.S.) United States. Dept. of Housing and Urban Development.	U.S. Dept. of Education,	1983		google	UIUC	https://catalog.hathitrust.org/Record/102611327	Full View
Federal legislation concerning education and training: enactments of 1961 and issues of 1962	Library of Congress. Legislative Reference Service. United States. Congress. Senate. Committee on Labor and Public Welfare.	U.S. Govt. Print. Off.,	1962		google	UIUC	https://catalog.hathitrust.org/Record/102611330	Full View
Diesel and fuel-oil engines (export classifications)	United States. National Bureau of Standards.	U.S. Govt. Print. Office,	1942	C 13.20:102 E, C 41.25:102E-42	google	UIUC	https://catalog.hathitrust.org/Record/102611486	Full View
Health, United States, 2008	National Center for Health Statistics (U.S.)	U.S. Dept. of Health and Human Services, Centers for Disease Control and Prevention, National Center for Health Statistics,	2009	HE20.7042/6:2008	google	UIUC	https://catalog.hathitrust.org/Record/102611527	Full View
The cotton-cloth industry	United States Tariff Commission.	Govt. Print. Off.,	1924		google	UIUC	https://catalog.hathitrust.org/Record/102611969	Full View
United States GBC 2000 Team	National Renewable Energy Laboratory (U.S.) United States. Dept. of Energy. Building Technology, State and Community Programs.	National Renewable Energy Laboratory,	2000		google	UIUC	https://catalog.hathitrust.org/Record/102612351	Limited View
United States vs. Henry Hertz et al	Hertz, Henry. Sheridan, James B. Perkins, Emanuel C. United States. District Court (Pennsylvania : Eastern District)	W. Rice,	1855		ia	IDUKE	https://catalog.hathitrust.org/Record/102618509	Full View
Report of proceedings in the District Court of the United States for the Southern District of New-York, on a suit brought by the United States against Daniel D. Tomkins, June 3, 1822	United States. Tompkins, Daniel D., 1774-1825.	Printed by C.S. Van Winkle,	1822		ia	IDUKE	https://catalog.hathitrust.org/Record/102618512	Full View
Gazetteer of Mexico	United States. Defense Mapping Agency. United States Board on Geographic Names.	Defense Mapping Agency,	1992		google	OSU	https://catalog.hathitrust.org/Record/102619690	Full View
Reconnaissance of the ground-water resources of Mackinac County, Michigan	Vanlier, Kenneth Eugene, 1924- Deutsch, Morris, 1925- joint author.	U.S. Geological Survey,	1958		google	UIUC	https://catalog.hathitrust.org/Record/3162681	Limited View
Cost effectiveness of the stream-gaging program in Pennsylvania	Flippo, Herbert N. Behrendt, T. E. Geological Survey (U.S.)	U.S. Geological Survey ; Open File Services Section, Western Distribution Branch, U.S. Geological Survey [distributor],	1986	I 19.42/4:85-4077	google	UIUC	https://catalog.hathitrust.org/Record/3790906	Full View
The Smithsonian guides to natural America	Winckler, Suzanne, 1946- Clay, Willard	Smithsonian Books ; Random House,	1997		google	UCSC	https://catalog.hathitrust.org/Record/8863059	Limited View
Florida everglades	Florida Everglades Engineering Commission. Randolph, Isham, 1848-1920. Florida. Trustees of Internal Improvement Fund. Florida. Board of Commissioners of Everglades Drainage District.	Govt. Print. Off.,	1914		google	NRLF	https://catalog.hathitrust.org/Record/100691892	Full View
Elements of map projection with applications to map and chart construction	Deetz, Charles Henry, 1864-1946. Adams, Oscar S. (Oscar Sherman), b. 1874.	U.S. Govt. Print. Off.,	1938		google	UIUC	https://catalog.hathitrust.org/Record/102225960	Limited View
Opportunities for the preparation of teachers in health education	Kleinschmidt, Earl E.	U.S. Govt. Print Off.,	1942		google	UIUC	https://catalog.hathitrust.org/Record/102501915	Full View
The growing utility of political terrorism	Munger, Murl D. Army War College (U.S.). Strategic Studies Institute.	Strategic Studies Institute, US Army War College,	1977		google	UIUC	https://catalog.hathitrust.org/Record/102610415	Full View
The Clean water act	United States.	Water Pollution Control Federation,	1978		google	UIUC	https://catalog.hathitrust.org/Record/102610417	Limited View
Future development of the U.S. airport network	National Research Council (U.S.). Transportation Research Board. United States. Federal Aviation Administration.	Transportation Research Board, National Research Council,	1988		google	UIUC	https://catalog.hathitrust.org/Record/102610419	Limited View
Evaluation of techniques for the control of direct access to arterial highways	Azzeh, J        A United States. Federal Highway Administration. Offices of Research and Development. Midwest Research Institute (Kansas City, Mo.)	Office of Research and Development, Federal Highway Administration, U.S. Dept. of Transportation ; available through the National Technical Information Service,	1975		google	UIUC	https://catalog.hathitrust.org/Record/102610421	Full View
Demographic and occupational characteristics of workers in trade-sensitive industries	Aho, C. Michael, 1949- Orr, James	U. S. Dept. of Labor, Bureau of International Labor Affairs ; For sale by the National Technical Information Service,	1980		google	UIUC	https://catalog.hathitrust.org/Record/102610454	Full View
The Labor-management reporting and disclosure act of 1959	United States. Bureau of Labor-Management Reports.	U.S. Govt. Print. Off.],	1959		google	UIUC	https://catalog.hathitrust.org/Record/102610474	Limited View
Income security for Americans	United States. Congress. Joint Economic Committee. Subcommittee on Fiscal Policy.	For sale by the Supt. of Docs., U.S. Govt. Print. Off.,	1974		google	UIUC	https://catalog.hathitrust.org/Record/102610517	Limited View
Status report of the Office of Professional Responsibility on the investigation conducted concerning various matters pertaining to Billy Carter	United States. Dept. of Justice. Office of Professional Responsibility.	United States Senate Committee on the Judiciary,	1980		google	UIUC	https://catalog.hathitrust.org/Record/102610555	Full View
The geographical division of the Eighth Circuit Court of Appeals	Bonn, Denise. Federal Judicial Center.	Federal Judicial Center	1974		google	UIUC	https://catalog.hathitrust.org/Record/102610603	Limited View
Water quality criteria	United States. Federal Water Pollution Control Administration.	U.S. Govt. Print. Off.,	1968		google	UIUC	https://catalog.hathitrust.org/Record/102610716	Limited View
Enterprise zones in America	HUD USER (U.S.) United States. Office of Community Planning and Development. United States. Dept. of Housing and Urban Development. Office of Policy Development and Research.	The Department,	1989	HH 1.6/3:En 8/4/989	google	UIUC	https://catalog.hathitrust.org/Record/102610730	Full View
Revenue sharing	Shonyo, Carolyn. United States. National Technical Information Service	National Technical Information Service,	1976		google	UIUC	https://catalog.hathitrust.org/Record/102610731	Full View
American painting	National Gallery of Art (U.S.) Tate Gallery	The Tate Gallery,	1946		google	UIUC	https://catalog.hathitrust.org/Record/102610934	Limited View
Physical, chemical, and biological responses to urbanization in the Fox and Des Plaines River basins of northeastern Illinois and southeastern Wisconsin	Hirsch, Robert M., author of foreword. Harris, Mitchell A., author. Geological Survey (U.S.)	U.S. Geological Survey,	2005	I 19.42/4-4:2005-5218	google	UIUC	https://catalog.hathitrust.org/Record/102610953	Full View
Measurements of railroad noise--line operations, yard boundaries and retarders	Fath, J. M. United States. Office of Noise Abatement and Control. United States. National Bureau of Standards. Applied Acoustics Section.	Applied Acoustics Section, Institute for Basic Standards, National Bureau of Standards ; National Technical Information Service,	1974		google	UIUC	https://catalog.hathitrust.org/Record/102611162	Full View
West German elite opinion on European security and arms control	Zinner, Paul E. United States. International Communication Agency. Office of Research.	Office of Research, International Communication Agency,	1980		google	UIUC	https://catalog.hathitrust.org/Record/102611247	Full View
Student interests and needs in hygiene	Rogers, James Frederick, 1870-1965. United States. Office of Education. Project in Research in Universities.	U.S. G.P.O. : For sale by the Supt. of Docs.,	1937	I 16.3:937/16	google	UIUC	https://catalog.hathitrust.org/Record/102611278	Full View
Noise level measurements on the UMTA Mark I Diagnostic Car (R42 model)	Rickley, Edward J. Byron, George, 1936- Quinn, Robert. United States. Urban Mass Transportation Administration. Transportation Systems Center.	Transportation Systems Center ; Available from National Technical Information Service,	1971		google	UIUC	https://catalog.hathitrust.org/Record/102611312	Full View
Radiation research	International Conference on Radiation Research (1963 : Natick, Mass.) Fisher, Frank R. U.S. Army Natick Laboratories. National Research Council (U.S.). Advisory Board on Military Personnel Supplies.	U. S. Dept. of Commerce, Office of Technical Services,	1963		google	UIUC	https://catalog.hathitrust.org/Record/102611343	Limited View
Fire-fighting manual	United States. Navy Dept. Bureau of Ships.	U.S. Govt. Print. Off.,	1944		google	UIUC	https://catalog.hathitrust.org/Record/102611344	Full View
Selected hydrologic data for the upper Rio Hondo basin, Lincoln County, New Mexico, 1945-2003	Donohoe, Lisa C. Geological Survey (U.S.) Lincoln County (N.M.)	U.S. Geological Survey,	2004		google	UIUC	https://catalog.hathitrust.org/Record/102611363	Full View
Characterization and simulation of flow in the lower Arkansas River alluvial aquifer, south-central Kansas	Jian, Xiaodong. Hansen, Cristi V. Combs, L. J. Geological Survey (U.S.) Kansas. Dept. of Agriculture. Division of Water Resources.	U.S. Geological Survey,	2004	I 19.42/4-4:2004-5204	google	UIUC	https://catalog.hathitrust.org/Record/102611364	Full View
Trachoma: its character and effects	United States. Public Health Service. Schereschewsky, Joseph W., 1873- Clark, Taliaferro, b. 1867.	Govt. Print. Off.,	1914		google	UIUC	https://catalog.hathitrust.org/Record/102611397	Full View
Mechanical loading for the coal mines of the Pittsburgh district	McCullough, H. F. Paul, J. W. United States. Bureau of Mines. Carnegie Institute of Technology.	Carnegie Institute of Technology,	1926		google	UIUC	https://catalog.hathitrust.org/Record/102611435	Limited View
Who has what and where to get it	United States. Heritage Conservation and Recreation Service. Lake Central Region.	The Service,	1980		google	UIUC	https://catalog.hathitrust.org/Record/102611442	Full View
Coliform bacteria growth and control in aerated stabilization basins	Watkins, S        H United States. Environmental Protection Agency. Office of Research and Development.	For sale by the Supt. of Docs., U.S. Govt. Print. Off.,	1973		google	UIUC	https://catalog.hathitrust.org/Record/102611451	Limited View
Statistical behavior of the general circulation of the northern hemisphere, October 1945-March 1952	Willett, Hurd C. (Hurd Curtis), 1903- Massachusetts Institute of Technology. Extended Forecasting Project. United States. Weather Bureau.	[s.n.,	1960		google	UIUC	https://catalog.hathitrust.org/Record/102611576	Limited View
Evaluation of options for improving Amtrak's passenger accountability system	Mauri, Ronald A. Mergel, Joseph J. United States. Federal Railroad Administration. Office of Research and Development. United States. Dept. of Transportation. Research and Special Programs Administration.	Federal Railroad Administration, Office of Research and Development,	2005		google	UIUC	https://catalog.hathitrust.org/Record/102611772	Full View
Plan of action	Texas A & M University. Dept. of Urban and Regional Planning. United States. Army. Corps of Engineers. Fort Worth District	The Dept.,	1976		google	UIUC	https://catalog.hathitrust.org/Record/102611883	Limited View
Verification of severe local storms forecasts issued by the National Severe Storms Forecast Center: 1993	Anthony, Richard W. National Severe Storms Forecast Center (U.S.)	U.S. Dept. of Commerce, National Oceanic and Atmospheric Administration, National Weather Service, National Severe Storms Forecast Center,	1994		google	UIUC	https://catalog.hathitrust.org/Record/102612001	Full View
Simulated hydrologic effects of the development of the Patapsco Aquifer system in Glen Burnie, Anne Arundel County, Maryland	Achmad, Grufron. Anne Arundel County (Md.). Dept. of Utilities. Geological Survey (U.S.)	Dept. of Natural Resources, Maryland Geological Survey,	1991		google	UIUC	https://catalog.hathitrust.org/Record/102612061	Limited View
How to use injury statistics to prevent occupational accidents	President's Conference on Occupational Safety. United States. Bureau of Labor Standards.	U.S. Dept. of Labor, Bureau of Labor Standards	1955	L 16.42:	google	UIUC	https://catalog.hathitrust.org/Record/102612190	Full View
A planning guide for gifted preschoolers	Leonard, Judith.	Kaplan Press,	1978		google	UIUC	https://catalog.hathitrust.org/Record/102612204	Full View
Final report ... to the Council of Library Resources and the National Endowment for the Humanities	University of Colorado. Libraries. Lubans, John. National Endowment for the Humanities. Council on Library Resources.	University of Colorado Libraries,	1978		google	UIUC	https://catalog.hathitrust.org/Record/102612230	Limited View
Determination of MBTS and TCMTB in industrial and municipal wastewaters	Mondron, P. J., author. Engel, T. M., author. Warner, J. S., author. Battelle Memorial Institute. Columbus Laboratories. Environmental Monitoring and Support Laboratory (Cincinnati, Ohio) United States. Environmental Protection Agency. Office of Research and Development.	U.S. Environmental Protection Agency, Office of Research and Development, Environmental Monitoring and Support Laboratory,	1985		google	UIUC	https://catalog.hathitrust.org/Record/102612289	Limited View
Improving energy efficiency at U.S. plastics manufacturing plants	Industrial Technologies Program (U.S.) United States. Dept. of Energy. Office of Energy Efficiency and Renewable Energy. Society of the Plastics Industry.	U.S. Dept. of Energy, Energy Efficiency and Renewable Energy,	2005		google	UIUC	https://catalog.hathitrust.org/Record/102612290	Full View
Control of VOC emissions from polystyrene foam manufacturing	Beck, David. Stockton, Margie B. McLean, J. S. Bagley, C. J. United States. Environmental Protection Agency. Control Technology Center. United States. Environmental Protection Agency. Office of Air Quality Planning and Standards.	U.S. Environmental Protection Agency,	1990		google	UIUC	https://catalog.hathitrust.org/Record/102612350	Full View
Emissions of greenhouse gases in the United States, 2006	United States. Energy Information Administration.	Energy Information Administration, Office of Integrated Analysis and Forecasting, U.S. Dept. of Energy,	2007		google	UIUC	https://catalog.hathitrust.org/Record/102612363	Full View
Directory, June 1946, updated to October 1946	United States. Conciliation Service		1946	L 19.2:D 62/946	google	UIUC	https://catalog.hathitrust.org/Record/102612382	Full View
Design for the Environment lithography project bulletin 4	Design for the Environment.	U.S. Environmental Protection Agency, Design for the Environment,	1996		google	UIUC	https://catalog.hathitrust.org/Record/102612402	Full View
Design for the Environment flexography case study 2		U.S. Environmental Protection Agency, Design for the Environment,	1997		google	UIUC	https://catalog.hathitrust.org/Record/102612405	Full View
Strategic planning	United States. Environmental Protection Agency. Office of Administration and Resources Management. United States. Environmental Protection Agency. Information Management and Services Division. Headquarters Library.	U.S. Environmental Protection Agency,	1990		google	UIUC	https://catalog.hathitrust.org/Record/102612411	Full View
More firepower for health education	Steinhaus, Arthur H., 1897-1970.	Office of Education : for sale by Supt. of Docs., U.S. Govt. Print. Off.,	1945		google	UIUC	https://catalog.hathitrust.org/Record/102612416	Full View
Electronics reuse and recycling directory	United States. Environmental Protection Agency. Office of Solid Waste and Emergency Response.	U.S. Environmental Protection Agency, Solid Waste and Emergency Response,	2000		google	UIUC	https://catalog.hathitrust.org/Record/102612443	Full View
Design for the Environment screen printing case study 2	Design for the Environment.	U.S. Environmental Protection Agency, Design for the Environment,	1996		google	UIUC	https://catalog.hathitrust.org/Record/102612444	Full View
Design for the Environment screen printing case study 3	Design for the Environment.	U.S. Environmental Protection Agency, Design for the Environment,	1996		google	UIUC	https://catalog.hathitrust.org/Record/102612445	Full View
Design for the Environment printed wiring board case study 6	Design for the Environment.	U.S. Environmental Protection Agency, Design for the Environment,	1997		google	UIUC	https://catalog.hathitrust.org/Record/102612446	Full View
Summary of state legislation requiring premarital and prenatal examinations for veneral diseases	Bowden, Aneta Evans, 1896- Gould, George, 1909- United States. Public Health Service. American Social Hygiene Association.	The American social hygiene association,	1941		google	UIUC	https://catalog.hathitrust.org/Record/1588429	Limited View
