Soil Survey of Todd County, Minnesota		The Service,	1989		google	SRLF	https://catalog.hathitrust.org/Record/101758948	Full View
Soil survey of Waushara County, Wisconsin	Otto, Augustine J. Simonson, Duane T. Simeth, Fred J. University of Wisconsin--Madison. College of Agricultural and Life Sciences. Research Division. United States. Soil Conservation Service.	The Service,	1989	A 57.38:W 35/2	google	SRLF	https://catalog.hathitrust.org/Record/101758911	Full View
Soil survey of Allen County, Kentucky	Barton, Arlin John, 1922- Kentucky Agricultural Experiment Station. Kentucky Natural Resources and Environmental Protection Cabinet. United States. Soil Conservation Service.	The Service,	1989	A 57.38:Al 5/8	google	SRLF	https://catalog.hathitrust.org/Record/101758808	Full View
Soil survey of Mower County, Minnesota	Carlson, Carroll Richard, 1928- University of Minnesota. Agricultural Experiment Station. United States. Soil Conservation Service.	The Service,	1989	A 57.38:M 87	google	SRLF	https://catalog.hathitrust.org/Record/101758825	Full View
Soil survey of McHenry County, North Dakota	DesLauriers, Lynn L. North Dakota. State Soil Conservation Committee. North Dakota Agricultural College. Agricultural Extension Service. North Dakota Agricultural Experiment Station (Fargo) United States. Soil Conservation Service.	The Service,	1990		google	SRLF	https://catalog.hathitrust.org/Record/101758833	Full View
Soil survey of Perry County, Missouri	Festervand, Dorris F. University of Missouri--Columbia. Agricultural Experiment Station. United States. Soil Conservation Service.	The Service,	1986	A 57.38:P 42/3	google	SRLF	https://catalog.hathitrust.org/Record/101758836	Full View
Soil survey of Le Sueur County, Minnesota	Schulzetendberg, James U. University of Minnesota. Agricultural Experiment Station. United States. Soil Conservation Service.	The Service,	1989	A 57.38:L 46/2	google	SRLF	https://catalog.hathitrust.org/Record/101758937	Full View
Soil survey of San Miguel County area, New Mexico	Hilley, Terry E. New Mexico State University. Agricultural Experiment Station. United States. Forest Service. United States. Soil Conservation Service.	U.S. Dept. of Agriculture, Soil Conservation Service and Forest Service,	1981	A 57.38:Sa 5 m	google	SRLF	https://catalog.hathitrust.org/Record/101758947	Full View
Soil survey of Washington County, Iowa	Wilson, J. Herbert. Iowa. Department of Soil Conservation. Iowa State University. Cooperative Extension Service. Iowa Agriculture and Home Economics Experiment Station. United States. Soil Conservation Service.	U.S. Dept. of Agriculture, Soil Conservation Service,	1986	A 57.38:W 27/19	google	SRLF	https://catalog.hathitrust.org/Record/101759041	Full View
Soil survey of Cass County, Illinois	Calsyn, Dale E. Witt, James K. Black, Kim P. University of Illinois at Urbana-Champaign. Agricultural Experiment Station. United States. Soil Conservation Service.	The Service,	1989	A 57.38:C 26/2	google	SRLF	https://catalog.hathitrust.org/Record/101758820	Full View
Soil survey of Montgomery County, Indiana	Hosteter, William D. Indiana. Soil and Water Conservation Committee. Purdue University. Agricultural Experiment Station. United States. Soil Conservation Service.	The Service,	1989	A 57.38:M 76/16	google	SRLF	https://catalog.hathitrust.org/Record/101758867	Full View
Soil survey of San Juan County, New Mexico	Keetch, C. Wesley. New Mexico State University. Agricultural Experiment Station. United States. Bureau of Reclamation. United States. Bureau of Indian Affairs. United States. Soil Conservation Service.	U.S. Dept. of Agriculture, Soil Conservation Service,	1980	A 57.38:Sa5j/3	google	SRLF	https://catalog.hathitrust.org/Record/101758871	Full View
Soil survey of Buchanan County, Missouri	Lockridge, Earl D. University of Missouri--Columbia. Agricultlural Experiment Station. United States. Soil Conservation Service.	The Service,	1989	A 57.38:B 85/3	google	SRLF	https://catalog.hathitrust.org/Record/101758892	Full View
Soil survey of Lauderdale County, Tennessee	Monteith, Steven E. University of Tennessee, Knoxville. Agricultural Experiment Station. United States. Soil Conservation Service.	The Service,	1990	A 57.38:L 36/3	google	SRLF	https://catalog.hathitrust.org/Record/101758899	Full View
Soil survey of Thurston County, Washington	Pringle, Russell F. Washington State University. Agricultural Research Center. Washington (State). Department of Natural Resources. United States. Soil Conservation Service.	The Service,	1990	A 57.38:T 42/2	google	SRLF	https://catalog.hathitrust.org/Record/101758918	Full View
Soil survey of Clay County, Florida	Weatherspoon, Robert L. Wittstruck, William H. Cummings, Eddie. Florida. Department of Agriculture and Consumer Services. University of Florida. Soil Science Department. University of Florida. Agricultural Experiment Station. United States. Soil Conservation Service.	The Service,	1989	A 57.38:C 57/14	google	SRLF	https://catalog.hathitrust.org/Record/101759040	Full View
Analysis and modeling of relationships between accidents and the geometric and traffic characteristics of the interstate system	Fee, Julie Anna. Beatty, Richard L. Dietz, Stephen K. United States. Bureau of Public Roads.	U.S. Bureau of Public Roads; for sale by the Supt. of Docs., U.S. Govt. Print. Off.,	1969		google	SRLF	https://catalog.hathitrust.org/Record/1611841	Full View
Sailing directions for northern U.S.S.R.	United States. Hydrographic Office.		1954		google	SRLF	https://catalog.hathitrust.org/Record/101758979	Full View
Manual of surface observations (WBAN)	United States. Weather Bureau.	U.S. Govt. Print. Off.,	1966		google	SRLF	https://catalog.hathitrust.org/Record/101759037	Full View
An analysis of Federal R & D funding by budget function, 1960-1972	National Science Foundation (U.S.)		1971	NS 1.22:F96	google	SRLF	https://catalog.hathitrust.org/Record/101758903	Full View
Manual of surface observations (WBAN)	United States. Weather Bureau.	U. S. Govt. Print. Off.	1961		google	SRLF	https://catalog.hathitrust.org/Record/101759038	Full View
Papers relating to the foreign relations of the United States	United States. Department of State.		1928		google	COO	https://catalog.hathitrust.org/Record/100227014	Full View
Consumer products by design	United States. Agricultural Research Service.	U.S. Dept. of Agriculture; for sale by the Supt. of Docs., U.S. Govt. Print. Off.,	1972	A 1.75:355	google	UIUC	https://catalog.hathitrust.org/Record/11389866	Limited View
Area handbook for Panama	Weil, Thomas E. American University (Washington, D.C.). Foreign Area Studies. American University, Washington, D.C. Foreign Area Studies Division.	For sale by the Supt. of Docs., U.S. Govt. Print. Off.]	1972	D 101.22:550-46	google	UIUC	https://catalog.hathitrust.org/Record/1539892	Limited View
Area handbook for Zambia	Kaplan, Irving, 1923- American University (Washington, D.C.) Foreign Area Studies.	American University, Foreign Area Studies : for sale by the Supt. of Docs., U.S. Govt. Print. Off.,	1974	D 101.22:550-75/2	google	NRLF	https://catalog.hathitrust.org/Record/1543280	Limited View
The condition of education for Hispanic Americans	Brown, George Haskell, 1922- National Center for Education Statistics.	U.S. Department of Education, Assistant Secretary for Educational Research and Improvement, National Center for Education Statistics,	1980	ED 1.102:H 62	google	MIU	https://catalog.hathitrust.org/Record/101829979	Full View
Guidelines and standards for the use of volunteers in correctional programs	National Information Center on Volunteers in Courts. Scheier, Ivan H.	National Institute of Law Enforcement and Criminal Justice,	1972	J 1.8/2:V88	google	MIU	https://catalog.hathitrust.org/Record/1120637	Limited View
Radioactivity of invertebrates and other organisms at Eniwetok Atoll during 1954-55.	Bonham, Kelshaw. Washington University. Applied Fisheries Laboratory. U.S. Atomic Energy Commission.	AEC Technical Information Service Extension],	1958		google	SRLF	https://catalog.hathitrust.org/Record/101758816	Full View
Carbon-14 measurements in the atmosphere, 1953 to 1964	Hagemann, F. T.	Health and Safety Laboratory, U.S. Atomic Energy Commission,	1965		google	SRLF	https://catalog.hathitrust.org/Record/101758858	Full View
Soil survey of Nassau County, New York	Wulforst, John P. Cornell University. Agricultural Experiment Station. United States. Soil Conservation Service.	The Service,	1987	A 57.38:N 18	google	SRLF	https://catalog.hathitrust.org/Record/101759042	Full View
Sailing directions for South America	United States. Defense Mapping Agency. Hydrographic/Topographic Center.	Dept. of Defense, Defense Mapping Agency, Hydrographic Center : for sale by authorized sales agents of the Defense Mapping Agency, Hydrographic Center,	1976	D 5.317:25/2/	google	SRLF	https://catalog.hathitrust.org/Record/101758933	Full View
Sailing directions for west coast of Greenland	United States. Defense Mapping Agency. Hydrographic Center.	Defense Mapping Agency, Hydrographic Center,	1976	D 5.317:16	google	SRLF	https://catalog.hathitrust.org/Record/101758974	Full View
Sailing directions for Antarctica	United States. Defense Mapping Agency. Hydrographic/Topographic Center. United States. Hydrographic Office.	Defense Mapping Agency, Hydrographic/Topographic Center,	1976	D 5.317:27	google	SRLF	https://catalog.hathitrust.org/Record/101758996	Full View
Sailing directions for Newfoundland includes Strait of Belle Isle and St. Pierre and Miquelon Islands	United States. Defense Mapping Agency. Hydrographic Center.	Dept. of Defense, Defense Mapping Agency, Hydrographic Center : for sale by authorized Sales Agents of the Defense Mapping Agency, Hydrographic Center,	1970	D 203.22:14/956/Ch. 7	google	SRLF	https://catalog.hathitrust.org/Record/101759001	Full View
Sailing directions for the Pacific Islands	United States. Defense Mapping Agency. Hydrographic Center.	Dept. of Defense, Defense Mapping Agency, Hydrographic Center : for sale by authorized Sales Agents of the Defense Mapping Agency, Hydrographic Center,	1976		google	SRLF	https://catalog.hathitrust.org/Record/101759007	Full View
Sailing directions for Antarctica	United States. Hydrographic Office.	United States, Goverment Printing Office,	1960		google	SRLF	https://catalog.hathitrust.org/Record/101759021	Full View
Sailing directions for Ireland	United States. Hydrographic Office.	U.S. Govt. Print. Off.,	1962		google	SRLF	https://catalog.hathitrust.org/Record/101758978	Full View
Sailing directions (enroute) for Scotland	United States. Defense Mapping Agency. Hydrographic Center.	Defense Mapping Agency, Hydrographic Center,	1976	D 5.317:141	google	SRLF	https://catalog.hathitrust.org/Record/101758992	Full View
Sailing directions for the eastern shores of the North Sea	United States. Defense Mapping Agency. Hydrographic Center.	U.S. Govt. Printing Office,	1959		google	SRLF	https://catalog.hathitrust.org/Record/101759004	Full View
Sailing directions for the north and east coasts of Scotland	United States. Defense Mapping Agency. Hydrographic Center.	U.S. Govt. Print. Off.,	1950		google	SRLF	https://catalog.hathitrust.org/Record/101759005	Full View
Radio navigational aids	United States. Hydrographic Office.	U.S. Navy Hydrographic Office,	1962		google	SRLF	https://catalog.hathitrust.org/Record/101759020	Full View
Sailing directions for the south coast of England	United States. Hydrographic Office.	U.S. Govt. Printing Office,	1952		google	SRLF	https://catalog.hathitrust.org/Record/101759026	Full View
Sailing directions for the west coasts of England and Wales	United States. Hydrographic Office.	U.S. Govt. Print. Office,	1951		google	SRLF	https://catalog.hathitrust.org/Record/101759027	Full View
Sailing directions (enroute) for the Western Mediterranean	United States. Defense Mapping Agency. Hydrographic Center. United States. Naval Oceanographic Office.	Defense Mapping Agency, Hydrographic Center,	1975	D 5.317:131	google	SRLF	https://catalog.hathitrust.org/Record/101758972	Full View
Sailing directions for the southwest coast of Norway	United States. Hydrographic Office.	U.S. Govt. Print. Off.,	1956		google	SRLF	https://catalog.hathitrust.org/Record/101758980	Full View
Job evaluation	United States. Navy Dept. Administrative Office.	s.n.,	1949		google	UIUC	https://catalog.hathitrust.org/Record/101793484	Full View
Sailing directions (enroute) for the west coasts of Australia	United States. Defense Mapping Agency. Hydrographic Center.	[Dept. of Defense], Defense Mapping Agency, Hydrographic Center : for sale by authorized Sales Agents of the Defense Mapping Agency, Hydrographic Center,	1978	D 5.317:175	google	SRLF	https://catalog.hathitrust.org/Record/101758995	Full View
Sailing directions for the northern and eastern shores of the Skagerrak	United States. Hydrographic Office.	U.S. Govt. Printing Office,	1956		google	SRLF	https://catalog.hathitrust.org/Record/101759025	Full View
Sailing directions for the Bay of Biscay	United States. Naval Oceanographic Office.	U.S. Govt. Printing Office,	1951		google	SRLF	https://catalog.hathitrust.org/Record/101759031	Full View
Sailing directions for the west coast of India	United States. Defense Mapping Agency. Hydrographic Center. United States. Naval Oceanographic Office.	Defense Mapping Agency, Hydrographic Center,	1976	D 5.317:63	google	SRLF	https://catalog.hathitrust.org/Record/101758973	Full View
Sailing directions for the northwest and north coasts of Norway	United States. Defense Mapping Agency. Hydrographic/Topographic Center.	Defense Mapping Agency, Hydrographic Center,	1976		google	SRLF	https://catalog.hathitrust.org/Record/101758975	Full View
Foreign assistance activities of the Communist bloc and their implications for the United States ...	Corporation for Economic and Industrial Research.	U. S. Govt. Print. Off.,	1957		google	SRLF	https://catalog.hathitrust.org/Record/101797485	Full View
Sailing directions for Malacca Strait and Sumatra	United States. Defense Mapping Agency. Hydrographic Center.	Defense Mapping Agency, Hydrographic Center,	1975		google	SRLF	https://catalog.hathitrust.org/Record/101758998	Full View
Toward economic security for the poor	United States. Congress. Senate. Committee on Labor and Public Welfare. Subcommittee on Employment, Manpower, and Poverty.	U.S. Govt. Print. Off.,	1968		google	SRLF	https://catalog.hathitrust.org/Record/101797768	Full View
A decade of change in U.S. hospitals, 1953-1963	United States. Army. Surgeon-General's Office. Office of the Comptroller.	[For sale by the Superintendent of Documents, U.S. Govt. Print. Off.],	1965		google	SRLF	https://catalog.hathitrust.org/Record/101759090	Full View
Sailing directions (enroute) for the Philippines	United States. Defense Mapping Agency. Hydrographic/Topographic Center.	Defense Mapping Agency, Hydrographic/Topographic Center,	1979		google	SRLF	https://catalog.hathitrust.org/Record/101758926	Full View
Sailing directions (planning guide) for the Arctic Ocean	United States. Defense Mapping Agency. Hydrographic/Topographic Center.	Defense Mapping Agency, Hydrographic/Topographic Center : For sale by authorized Sales Agents of the Defense Mapping Agency Office of Distribution Services,	1983	D 5.317:180	google	SRLF	https://catalog.hathitrust.org/Record/101758928	Full View
Ground loads	United States. Munitions Board. Aircraft Committee. Subcommittee on Air Force-Navy-Civil Aircraft Design Criteria. United States. Army-Navy-Civil Committee on Aircraft Design Criteria.	U. S. Govt. Print. Off.	1952		google	SRLF	https://catalog.hathitrust.org/Record/101758981	Full View
Sailing directions (planning guide) for the North Sea and Baltic Sea	United States. Defense Mapping Agency. Hydrographic/Topographic Center.	Defense Mapping Agency, Hydrographic/Topographic Center : For sale by authorized Sales Agents of the Defense Mapping Agency Office of Distribution Services,	1984	D 5.317:190/2	google	SRLF	https://catalog.hathitrust.org/Record/101758934	Full View
Sailing directions (enroute) for the North Sea	United States. Defense Mapping Agency. Hydrographic/Topographic Center.	Dept. of Defense], Defense Mapping Agency, Hydrographic/Topographic Center : for sale by authorized sales agents of the Defense Mapping Agency Office of Distribution Services,	1980	D 5.317:192/2/	google	SRLF	https://catalog.hathitrust.org/Record/101759013	Full View
Prevent pedestrian accidents	United States. National Highway Traffic Safety Administration.	U.S. Dept. of Transportation, National Highway Traffic Safety Administration,	1990	TD 8.2:P 91/2	google	UCR	https://catalog.hathitrust.org/Record/101733018	Full View
Sailing directions for the Kattegat and the Sound	United States. Hydrographic Office.	U.S. Govt. Print. Off.,	1956		google	SRLF	https://catalog.hathitrust.org/Record/101759023	Full View
Public financial disclosure	United States. Office of Government Ethics.	The Office : [For sale by U.S. G.P.O., Supt. of Docs.,	1994		google	SRLF	https://catalog.hathitrust.org/Record/2898813	Full View
Draft Yosemite Valley plan : supplemental environmental impact statement	United States. National Park Service. BRW Inc.	U.S. Dept. of the Interior,	2000		google	SRLF	https://catalog.hathitrust.org/Record/101759120	Full View
Oil and gas leasing in the Roswell District, BLM	United States. Bureau of Land Management. Roswell District Office.	U.S. Dept. of the Interior, Bureau of Land Management, Roswell District Office],	1981	I 53.2:Oi 5/3	google	UCR	https://catalog.hathitrust.org/Record/101732975	Full View
Administrative aspects of United States foreign assistance programs ...	Brookings Institution.	U. S. Govt. Print. Off.,	1957		google	SRLF	https://catalog.hathitrust.org/Record/101797442	Full View
The short-lived liberal phase in economic thinking in Communist China	United States. Central Intelligence Agency.	Central Intelligence Agency, Office of Research and Reports,	1963		google	SRLF	https://catalog.hathitrust.org/Record/101758941	Full View
The Central nervous system and behavior	Josiah Macy, Jr. Foundation. National Institutes of Health (U.S.). Russian Scientific Translation Program. Conference on the Central Nervous System and Human Behavior.	U. S. Dept. of Health, Education, and Welfare, Public Health Service,	1960		google	SRLF	https://catalog.hathitrust.org/Record/101758827	Full View
Epidemiology of diseases of naval importance in China	United States. Navy Department. Bureau of Medicine and Surgery. Hsiao, Tsai-yu, 1905-		1945		google	SRLF	https://catalog.hathitrust.org/Record/101758983	Full View
United States surveys in the Pacific, 1900-1960	Randall, Robert Henry. Symposium on Highlights of the History of Scientific Geographical Exploration in Relation to the Development of the Pacific Map (1961 : Honolulu, Hawaii) Pacific Science Congress (10th : 1961 : Honolulu, Hawaii)	U.S. Navy Hydrographic Office,	1961		google	SRLF	https://catalog.hathitrust.org/Record/101758919	Full View
Southern Vietnam and the South China Sea	United States. Office of Geography. United States Board on Geographic Names.	for sale by the Supt. of Docs, U.S. G.P.O.,	1961		google	SRLF	https://catalog.hathitrust.org/Record/101758960	Full View
A Description and analysis of certain European capital markets	United States. Congress. Joint Economic Committee. United States. Department of the Treasury.	U.S. G.P.O.,	1964		google	SRLF	https://catalog.hathitrust.org/Record/101758837	Full View
Membership, USSR Academy of Sciences	United States. Central Intelligence Agency.	Central Intelligence Agency],	1977		google	SRLF	https://catalog.hathitrust.org/Record/101758969	Full View
Soil survey of San Juan County, Utah, central part	Utah Agricultural Experiment Station. United States. Bureau of Land Management. United States. Soil Conservation Service.	The Service,	1993	A 57.38:SA 5 J 5/PACK.	google	SRLF	https://catalog.hathitrust.org/Record/101758956	Full View
Soil survey of Wythe County, Virginia	Virginia Polytechnic Institute and State University. United States. Soil Conservation Service.	The Service,	1992	A 57.38:W 99/3	google	SRLF	https://catalog.hathitrust.org/Record/101758959	Full View
Soil survey of Esmeralda County area, Nevada	Fisher, John B., 1947- Max C. Fleischmann College of Agriculture. Agricultural Experiment Station. United States. Bureau of Land Management. United States. Soil Conservation Service.	The Service,	1991	A 57.38:Es 5	google	SRLF	https://catalog.hathitrust.org/Record/101758843	Full View
The guide to processing personnel actions	United States. Federal Personnel Manual System.	Office of Personnel Management, Federal Personnel Manual System : For sale by the U.S. G.P.O., Supt. of Docs.,	1992	PM 1.14/3:296-33/inst.39	google	SRLF	https://catalog.hathitrust.org/Record/101759018	Full View
Sailing directions (enroute) for the east coast of South America including Estrecho de Magallanes	United States. Defense Mapping Agency. Hydrographic/Topographic Center.	Defense Mapping Agency, Hydrographic/Topographic Center : For sale by authorized Sales Agents of the Defense Mapping Agency Office of Distribution Services,	1983	D 5.317:124/2	google	SRLF	https://catalog.hathitrust.org/Record/101758925	Full View
SLOSH, sea, lake, and overland surges from hurricanes	Jelesnianski, C. P. Shaffer, Wilson A. Chen, Jye. 25 Oct 94 sms.	U.S. Dept. of Commerce, National Oceanic and Atmospheric Administration, National Weather Service,	1992		google	SRLF	https://catalog.hathitrust.org/Record/101758868	Full View
Price and wage control	United States. Congress. Joint Economic Committee.	U.S. Govt. Print. Off.,	1973	Y 4.Ec7:P93/14	google	UIUC	https://catalog.hathitrust.org/Record/11394685	Limited View
Why service personnel fail to complete USAFI courses	Bradt, Kenneth H.	Dept. of Defense, Office of Armed Forces Information and Education, Research Division,	1954		google	SRLF	https://catalog.hathitrust.org/Record/101797441	Full View
Panama Canal Commission authorization, fiscal year 1985, and oversight	United States. Congress. House. Committee on Merchant Marine and Fisheries. Subcommittee on Panama Canal/Outer Continental Shelf.	U.S. G.P.O.,	1984	Y 4.M 53:98-34	google	UCR	https://catalog.hathitrust.org/Record/101733066	Full View
West coast fishery management	United States. Congress. House. Committee on Merchant Marine and Fisheries. Subcommittee on Fisheries and Wildlife Conservation and the Environment.	U.S. G.P.O.,	1984	Y 4.M 53:98-33	google	UCR	https://catalog.hathitrust.org/Record/101733067	Full View
Merchant Marine Act of 1983	United States. Congress. House. Committee on Merchant Marine and Fisheries. Subcommittee on Merchant Marine.	U.S. G.P.O.,	1984	Y 4.M 53:98-32	google	UCR	https://catalog.hathitrust.org/Record/101733068	Full View
Government-impelled cargo--deepwater ports	United States. Congress. House. Committee on Merchant Marine and Fisheries. Subcommittee on Merchant Marine.	U.S. G.P.O.,	1984	Y 4.M 53:98-23	google	UCR	https://catalog.hathitrust.org/Record/101733070	Full View
Collection of criminal fines	United States. Congress. Senate. Committee on Governmental Affairs. Subcommittee on Energy, Nuclear Proliferation, and Government Processes.	U.S. G.P.O.,	1984	Y 4.G 74/9:S.prt.98-182	google	UCR	https://catalog.hathitrust.org/Record/101732918	Full View
The Office of the Consumer Advocate at the Postal Rate Commission	United States. Postal Rate Commission. Office of the Consumer Advocate.	The Commission,	1987	Y 3.P 84/4:2 C 76/2	google	UCR	https://catalog.hathitrust.org/Record/101733175	Full View
Soil survey of Snoqualmie Pass Area, parts of King and Pierce counties, Washington	Goldin, Alan, 1947- Washington State University. Agricultural Research Center. United States. Forest Service. Washington (State). Department of Natural Resources. United States. Soil Conservation Service.	Soil Conservation Service,	1992	A 57.38:SN 5/2	google	SRLF	https://catalog.hathitrust.org/Record/101758851	Full View
Soil survey of Lander County, Nevada, south part	Jett, Carole E. Max C. Fleischmann College of Agriculture. Agricultural Experiment Station. United States. Bureau of Land Management. United States. Soil Conservation Service.	The Service,	1991	A 57.38:L 23	google	SRLF	https://catalog.hathitrust.org/Record/101758875	Full View
Sailing directions for the West Indies	United States. Hydrographic Office.	United States, Naval Oceanographic Office,	1958		google	SRLF	https://catalog.hathitrust.org/Record/101759028	Full View
Sailing directions for the West Indies	United States. Naval Oceanographic Office. United States. Hydrographic Office.	U.S. Govt. Print. Off.,	1963		google	SRLF	https://catalog.hathitrust.org/Record/101759032	Full View
Numerical modeling of polar ionospheric electrodynamics for July 23-24, 1983 utilizing ionospheric conductances deduced from DMSP x-ray images	Ahn, B.-H National Geophysical Data Center World Data Center A for Solar-Terrestrial Physics	World Data Center A for Solar-Terrestrial Physics, NOAA National Geophysical Data Center,	1988	C 55.220:97	google	UCSD	https://catalog.hathitrust.org/Record/9846274	Full View
Science and technology	United States. Congress. House. Committee on Energy and Commerce. Special Subcommittee on U.S. Trade with China.	U.S. G.P.O.,	1984	Y 4.En 2/3:98-76	google	UCR	https://catalog.hathitrust.org/Record/101732879	Full View
Nuclear licensing reform	United States. Congress. House. Committee on Interior and Insular Affairs. Subcommittee on Energy and the Environment.	U.S. G.P.O.,	1984	Y 4.In 8/14:98-25	google	UCR	https://catalog.hathitrust.org/Record/101732925	Full View
Clinton administration	United States. President (1993-2001 : Clinton) Clinton, Bill, 1946- United States. Executive Office of the President.	Executive Office of the President,	1995	PREX 1.2:C 61/3	google	UCR	https://catalog.hathitrust.org/Record/101733034	Full View
Law enforcement retirement	United States. Internal Revenue Service.	Dept. of the Treasury, Internal Revenue Service,	1993	T 22.2/15:6374	google	UCR	https://catalog.hathitrust.org/Record/101733037	Full View
Teacher Resource Center Network	United States. National Aeronautics and Space Administration.	National Aeronautics and Space Administration,	1994	NAS 1.84:131	google	UCR	https://catalog.hathitrust.org/Record/101733040	Full View
Clinch River	United States. Congress. House. Committee on Energy and Commerce. Subcommittee on Energy Conservation and Power.	U.S. G.P.O.,	1984	Y 4.En 2/3:98-80	google	UCR	https://catalog.hathitrust.org/Record/101732884	Full View
Broadcast regulation reform	United States. Congress. House. Committee on Energy and Commerce. Subcommittee on Telecommunications, Consumer Protection, and Finance.	U.S. G.P.O.,	1984	Y 4.En 2/3:98-99	google	UCR	https://catalog.hathitrust.org/Record/101732885	Full View
National Telecommunications and Information Administration authorization	United States. Congress. House. Committee on Energy and Commerce. Subcommittee on Telecommunications, Consumer Protection, and Finance.	U.S. G.P.O.,	1984	Y 4.En 2/3:98-147	google	UCR	https://catalog.hathitrust.org/Record/101732887	Full View
Medicaid issues	United States. Congress. House. Committee on Energy and Commerce. Subcommittee on Health and the Environment.	U.S. G.P.O.,	1984	Y 4.En 2/3:98-140	google	UCR	https://catalog.hathitrust.org/Record/101732888	Full View
Effects of the Omnibus Budget Reconciliation Act of 1981 (OBRA) welfare changes and recession on poverty	United States. Congress. House. Committee on Ways and Means. Subcommittee on Public Assistance and Unemployment Compensation. United States. Congress. House. Committee on Ways and Means. Subcommittee on Oversight.	U.S. G.P.O.,	1984	Y 4.W 36:WMCP 98-33	google	UCR	https://catalog.hathitrust.org/Record/11346156	Full View
Reclamation safety and health standards	United States. Bureau of Reclamation.	U.S. Dept. of the Interior, Bureau of Reclamation,	2009	I 27.19/2:SA 1/4	google	SRLF	https://catalog.hathitrust.org/Record/101759139	Full View
Balancing your food choices	United States. Indian Health Service. Division of Diabetes Treatment and Prevention.	Dept of Health and Human Services, Public Health Service, Indian Health Service, Division of Diabetes Treatment and Prevention,	2011	HE 20.302:D 54/18	google	SRLF	https://catalog.hathitrust.org/Record/10815155	Full View
DOE prohibited personnel practices	United States. Congress. House. Committee on Energy and Commerce. Subcommittee on Energy Conservation and Power. United States. Congress. House. Committee on Post Office and Civil Service. Subcommittee on Civil Service.	U.S. G.P.O.,	1983	Y 4.En 2/3:98-44	google	UCR	https://catalog.hathitrust.org/Record/101732878	Full View
Low-level radioactive waste regional compacts	United States. Congress. House. Committee on Energy and Commerce. Subcommittee on Energy Conservation and Power.	U.S. G.P.O.,	1984	Y 4.En 2/3:98-85	google	UCR	https://catalog.hathitrust.org/Record/101732883	Full View
Opportunity and Empowerment Act	United States. Department of Housing and Urban Development.	U.S. Dept. of Housing and Urban Development,	1992	HH 1.2:Op 5	google	UCR	https://catalog.hathitrust.org/Record/101732832	Full View
A summer in the life of wild mallards	Olson, Kent. U.S. Fish and Wildlife Service.	U.S. Fish and Wildlife Service,	1989	I 49.2:M 29/2	google	UCR	https://catalog.hathitrust.org/Record/101732835	Full View
Perishable agricultural commodities trust protection plan	United States. Congress. Senate. Committee on Agriculture, Nutrition, and Forestry. Subcommittee on Agricultural Production, Marketing, and Stabilization of Prices.	U.S. G.P.O.,	1984	Y 4.Ag 8/3:S.hrg.98-614	google	UCR	https://catalog.hathitrust.org/Record/101732831	Full View
A Good place to live!	United States. Department of Housing and Urban Development. Office of Public and Indian Housing.	U.S. Dept. of Housing and Urban Development, Office of Public and Indian Housing,	1992	HH 1.2:P 69/4/992	google	UCR	https://catalog.hathitrust.org/Record/101732837	Full View
Soil survey of Union County, New Mexico	Maxwell, Harold B. New Mexico State University. Agricultural Experiment Station. United States. Forest Service. United States. Soil Conservation Service.	The Service,	1981	A 57.38:Un3/7	google	SRLF	https://catalog.hathitrust.org/Record/101758958	Full View
Sweetpotatoes, production, farm disposition, and value, by states, 1909-45.	United States. Bureau of Agricultural Economics. Strong, George B. United States. Crop Reporting Board.		1948		google	UIUC	https://catalog.hathitrust.org/Record/101763258	Full View
Status of eelgrass (Zostera marina) on the north Atlantic coast, February 1938	Cottam, Clarence, 1899-	United States Dept. of Agriculture, Bureau of Biological Survey,	1938		google	UCSD	https://catalog.hathitrust.org/Record/101796570	Full View
Review of safety related statutory authority administered by the Department of Transportation	Accola, Nancy. Glater, David S. United States. Dept. of Transportation. Office of R&D Policy. Transportation Systems Center.	Department of Transportation Office of the Secretary Office of R&D Policy,	1973		google	NWU	https://catalog.hathitrust.org/Record/10618540	Full View
Toward a federal/state/local partnership in hazardous materials transportation safety	United States. Dept. of Transportation. United States. Materials Transportation Bureau.	U.S. Department of Transportation,	1982		google	NWU	https://catalog.hathitrust.org/Record/10619518	Full View
Traveler responses to service level changes and variations during the morning peak period	Plank, Edward. Hendrickson, Chris. United States. Urban Mass Transportation Administration. University Research and Training Program. Carnegie-Mellon University. Dept. of Civil Engineering.	U.S. Urban Mass Transportation Administration, University Research and Training Program,	1982		google	NWU	https://catalog.hathitrust.org/Record/10631421	Full View
Traveler service study	United States. Transportation Programs Bureau. Office of Facilitation. Golightly and Co. International.	Office of Facilitation, Assistant Secretary for Policy and International Affairs, Department of Transportation,	1970		google	NWU	https://catalog.hathitrust.org/Record/10619325	Full View
Review and evaluation of the use of bus operator testing procedures in the personnel selection process within the transit industry	Jordan-DeLaurenti, M. (Mary) United States. Urban Mass Transportation Administration. Jordan-DeLaurenti and Associates.	U.S. Urban Mass Transportation Administration Office of Planning, Management & Demonstrations,	1981		google	NWU	https://catalog.hathitrust.org/Record/10608366	Full View
Defense and emergency requirements of waterways	U.S. Army Engineer Institute for Water Resources. Louis Berger and Associates. Data Resources, inc. A. T. Kearney, Inc.	Institute for Water Resources, Water Resources Support Center, U.S. Army Corps of Engineers,	1980		google	NWU	https://catalog.hathitrust.org/Record/11242610	Full View
